2026-03-23 21:45:39 | INFO     | main | Loaded 7 site configurations from sites.json
2026-03-23 21:45:39 | INFO     | main | Output: data/markdown/  |  Index: data/processed/
2026-03-23 21:45:39 | INFO     | main | 
2026-03-23 21:45:40 | INFO     | main | Starting: White House (USA)
2026-03-23 21:45:40 | INFO     | scraper.base_scraper | 
2026-03-23 21:45:40 | INFO     | scraper.base_scraper | ============================================================
2026-03-23 21:45:40 | INFO     | scraper.base_scraper |   Source : White House
2026-03-23 21:45:40 | INFO     | scraper.base_scraper |   Country: United States  [js=False]
2026-03-23 21:45:40 | INFO     | scraper.base_scraper | ============================================================
2026-03-23 21:45:40 | INFO     | scraper.base_scraper |   Dedup index loaded for usa: 0 known articles
2026-03-23 21:45:40 | INFO     | scraper.base_scraper |   RSS: https://www.whitehouse.gov/feed/
2026-03-23 21:45:40 | INFO     | scraper.base_scraper |   RSS → 0 entries
2026-03-23 21:45:40 | INFO     | scraper.base_scraper |   RSS returned 0 entries — trying fallback paths...
2026-03-23 21:45:45 | WARNING  | scraper.base_scraper |   HTTP 404: https://www.whitehouse.gov/rss.xml
2026-03-23 21:45:48 | WARNING  | scraper.base_scraper |   HTTP 404: https://www.whitehouse.gov/rss
2026-03-23 21:45:51 | WARNING  | scraper.base_scraper |   HTTP 404: https://www.whitehouse.gov/en/feed
2026-03-23 21:45:54 | WARNING  | scraper.base_scraper |   HTTP 404: https://www.whitehouse.gov/en/rss.xml
2026-03-23 21:45:57 | WARNING  | scraper.base_scraper |   HTTP 404: https://www.whitehouse.gov/actualites.atom
2026-03-23 21:45:57 | INFO     | scraper.base_scraper |   All RSS paths failed — relying on listing pages only
2026-03-23 21:45:57 | INFO     | scraper.base_scraper |   After RSS: 0 new candidates
2026-03-23 21:45:59 | INFO     | scraper.base_scraper |   Listing page 1 → 10 new | 0 already saved | total queued: 10
2026-03-23 21:46:02 | INFO     | scraper.base_scraper |   Listing page 2 → 0 new | 0 already saved | total queued: 10
2026-03-23 21:46:02 | INFO     | scraper.base_scraper |   After listing //www.whitehouse.gov/briefing-room/statements-releases/: 10 candidates total
2026-03-23 21:46:05 | INFO     | scraper.base_scraper |   Listing page 1 → 4 new | 0 already saved | total queued: 4
2026-03-23 21:46:08 | INFO     | scraper.base_scraper |   Listing page 2 → 0 new | 0 already saved | total queued: 4
2026-03-23 21:46:08 | INFO     | scraper.base_scraper |   After listing ps://www.whitehouse.gov/briefing-room/speeches-remarks/: 14 candidates total
2026-03-23 21:46:11 | WARNING  | scraper.base_scraper |   HTTP 404: https://www.whitehouse.gov/briefing-room/press-briefings/
2026-03-23 21:46:11 | WARNING  | scraper.base_scraper |   Could not fetch listing page: https://www.whitehouse.gov/briefing-room/press-briefings/
2026-03-23 21:46:11 | INFO     | scraper.base_scraper |   After listing tps://www.whitehouse.gov/briefing-room/press-briefings/: 14 candidates total
2026-03-23 21:46:11 | INFO     | scraper.base_scraper |   Total new candidates to fetch: 14
2026-03-23 21:46:14 | INFO     | utils.storage |   ✅ Saved: Congressional Bill S. 4138 Signed into Law
2026-03-23 21:46:16 | INFO     | utils.storage |   ✅ Saved: Presidential Message on Nowruz
2026-03-23 21:46:19 | INFO     | utils.storage |   ✅ Saved: First Lady Melania Trump Announces 2026 Spring Garden Tours
2026-03-23 21:46:21 | INFO     | utils.storage |   ✅ Saved: First Lady Melania Trump’s Fostering the Future Together Assembles Lea
2026-03-23 21:46:24 | INFO     | utils.storage |   ✅ Saved: Presidential Message on the Feast of Saint Joseph
2026-03-23 21:46:27 | INFO     | utils.storage |   ✅ Saved: Presidential Message on Eid al-Fitr
2026-03-23 21:46:29 | INFO     | utils.storage |   ✅ Saved: Presidential Message on Saint Patrick’s Day and Irish American Heritag
2026-03-23 21:46:32 | INFO     | utils.storage |   ✅ Saved: America 250: Presidential Message on the Birthday of President James M
2026-03-23 21:46:34 | INFO     | utils.storage |   ✅ Saved: America 250: Presidential Message on the Birthday of President Andrew 
2026-03-23 21:46:37 | INFO     | utils.storage |   ✅ Saved: Presidential Message on National K-9 Veterans Day
2026-03-23 21:46:39 | INFO     | utils.storage |   ✅ Saved: The Inaugural Address
2026-03-23 21:46:43 | INFO     | utils.storage |   ✅ Saved: President Trump and the First Lady Participate in a Dinner with the Cr
2026-03-23 21:46:45 | INFO     | utils.storage |   ✅ Saved: President Trump Participates in a Bilateral Meeting with the Crown Pri
2026-03-23 21:46:48 | INFO     | utils.storage |   ✅ Saved: President Trump Delivers Remarks at McDonald’s Impact Summit
2026-03-23 21:46:48 | DEBUG    | utils.storage | Index saved for usa: 14 articles → C:\Users\User\Documents\g7_scraper\data\processed\usa_articles.json
2026-03-23 21:46:48 | INFO     | scraper.base_scraper |   White House → SAVED: 14 | SKIPPED: 0 | ERRORS: 0
2026-03-23 21:46:48 | INFO     | main | Finished White House. Pausing before next country...
2026-03-23 21:46:51 | INFO     | main | Starting: GOV.UK (UK)
2026-03-23 21:46:51 | INFO     | scraper.base_scraper | 
2026-03-23 21:46:51 | INFO     | scraper.base_scraper | ============================================================
2026-03-23 21:46:51 | INFO     | scraper.base_scraper |   Source : GOV.UK
2026-03-23 21:46:51 | INFO     | scraper.base_scraper |   Country: United Kingdom  [js=False]
2026-03-23 21:46:51 | INFO     | scraper.base_scraper | ============================================================
2026-03-23 21:46:51 | INFO     | scraper.base_scraper |   Dedup index loaded for uk: 0 known articles
2026-03-23 21:46:51 | INFO     | scraper.base_scraper |   RSS: https://www.gov.uk/search/news-and-communications.atom
2026-03-23 21:46:52 | INFO     | scraper.base_scraper |   RSS → 20 entries
2026-03-23 21:46:52 | INFO     | scraper.base_scraper |   After RSS: 20 new candidates
2026-03-23 21:46:56 | INFO     | scraper.base_scraper |   Listing page 1 → 20 new | 0 already saved | total queued: 20
2026-03-23 21:47:01 | INFO     | scraper.base_scraper |   Listing page 2 → 0 new | 0 already saved | total queued: 20
2026-03-23 21:47:01 | INFO     | scraper.base_scraper |   After listing https://www.gov.uk/search/news-and-communications: 20 candidates total
2026-03-23 21:47:01 | INFO     | scraper.base_scraper |   Total new candidates to fetch: 20
2026-03-23 21:47:04 | INFO     | utils.storage |   ✅ Saved: Joint statement from Tallinn Mechanism member states: 10 March 2026
2026-03-23 21:47:06 | INFO     | utils.storage |   ✅ Saved: Advice accepted on autumn 2026 COVID-19 vaccination programme
2026-03-23 21:47:08 | INFO     | utils.storage |   ✅ Saved: King scallop dredge fishery temporary closure decision
2026-03-23 21:47:11 | INFO     | utils.storage |   ✅ Saved: HM Land Registry Chair’s letter 2026/27
2026-03-23 21:47:14 | INFO     | utils.storage |   ✅ Saved: Charity Commission responds to attacks in North London
2026-03-23 21:47:17 | INFO     | utils.storage |   ✅ Saved: New apprenticeship unit to supercharge battery manufacturing
2026-03-23 21:47:21 | INFO     | utils.storage |   ✅ Saved: Slough Borough Council: Letter to Will Tuckley extending his appointme
2026-03-23 21:47:23 | INFO     | utils.storage |   ✅ Saved: Full-time undergraduate student finance applications now open for 2026
2026-03-23 21:47:27 | INFO     | utils.storage |   ✅ Saved: SLC opens application service for 26/27 academic year
2026-03-23 21:47:31 | INFO     | utils.storage |   ✅ Saved: Drivers’ Hours: A Traffic Commissioner’s Perspective on Safety, Compli
2026-03-23 21:47:33 | INFO     | utils.storage |   ✅ Saved: Sports stars say ‘Enough’ to violence against women and girls
2026-03-23 21:47:36 | INFO     | utils.storage |   ✅ Saved: Chevening British Library Fellowship 2026/27: Applications Open
2026-03-23 21:47:39 | INFO     | utils.storage |   ✅ Saved: Independent Assurance Reviewer sought to examine DWP’s activities rela
2026-03-23 21:47:41 | INFO     | utils.storage |   ✅ Saved: UK Packaging PRO appointed to deliver Extended Producer Responsibility
2026-03-23 21:47:44 | INFO     | utils.storage |   ✅ Saved: Joint statement from the leaders of the United Kingdom, France, German
2026-03-23 21:47:47 | INFO     | utils.storage |   ✅ Saved: DBS expands Faith in Safeguarding campaign nationally
2026-03-23 21:47:51 | INFO     | utils.storage |   ✅ Saved: Cases of invasive meningococcal disease notified in Kent
2026-03-23 21:47:55 | INFO     | utils.storage |   ✅ Saved: Seven new towns proposed to kickstart housebuilding push
2026-03-23 21:47:58 | INFO     | utils.storage |   ✅ Saved: New school nurseries to help cut childcare costs in poorest areas
2026-03-23 21:48:01 | INFO     | utils.storage |   ✅ Saved: PM call with President Trump of the United States: 22 March 2026
2026-03-23 21:48:01 | DEBUG    | utils.storage | Index saved for uk: 20 articles → C:\Users\User\Documents\g7_scraper\data\processed\uk_articles.json
2026-03-23 21:48:01 | INFO     | scraper.base_scraper |   GOV.UK → SAVED: 20 | SKIPPED: 0 | ERRORS: 0
2026-03-23 21:48:01 | INFO     | main | Finished GOV.UK. Pausing before next country...
2026-03-23 21:48:04 | INFO     | main | Starting: Government of Canada (CANADA)
2026-03-23 21:48:04 | INFO     | scraper.base_scraper | 
2026-03-23 21:48:04 | INFO     | scraper.base_scraper | ============================================================
2026-03-23 21:48:04 | INFO     | scraper.base_scraper |   Source : Government of Canada
2026-03-23 21:48:04 | INFO     | scraper.base_scraper |   Country: Canada  [js=False]
2026-03-23 21:48:04 | INFO     | scraper.base_scraper | ============================================================
2026-03-23 21:48:04 | INFO     | scraper.base_scraper |   Dedup index loaded for canada: 0 known articles
2026-03-23 21:48:04 | INFO     | scraper.base_scraper |   RSS: https://pm.gc.ca/en/news/rss.xml
2026-03-23 21:48:08 | INFO     | scraper.base_scraper |   RSS → 0 entries
2026-03-23 21:48:08 | INFO     | scraper.base_scraper |   RSS returned 0 entries — trying fallback paths...
2026-03-23 21:48:21 | INFO     | scraper.base_scraper |   RSS: https://www.canada.ca/feed
2026-03-23 21:48:27 | INFO     | scraper.base_scraper |   RSS → 0 entries
2026-03-23 21:48:38 | INFO     | scraper.base_scraper |   RSS: https://www.canada.ca/feed/
2026-03-23 21:48:48 | INFO     | scraper.base_scraper |   RSS → 0 entries
2026-03-23 21:48:56 | INFO     | scraper.base_scraper |   RSS: https://www.canada.ca/rss.xml
